run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
1;600;0,0000;0,00800000000000000;0,00800000000000000;0,0695454545454545;0,1346857815074024;0,1;2;10;0,00;0;0,00;1;10;12;150;200;0,08;0,01
2;500;0,0000;0,01100000000000000;0,01100000000000000;0,1000000000000000;0,1424780684877501;0,1;2;10;0,00;0;0,00;1;10;12;150;200;0,08;0,01
3;400;0,0000;0,00700000000000000;0,00700000000000000;0,1055000000000000;0,1509313677728317;0,1;2;10;0,00;0;0,00;1;10;12;150;200;0,08;0,01
4;600;0,0000;0,00928571428571429;0,00928571428571429;0,0925000000000000;0,1403121520040228;0,1;2;10;0,00;0;0,00;1;10;12;150;200;0,08;0,01
5;500;0,0000;0,01000000000000000;0,01000000000000000;0,1318181818181818;0,1896875421222059;0,1;2;10;0,00;0;0,00;1;10;12;150;200;0,08;0,01
6;600;0,0000;0,01125000000000000;0,01125000000000000;0,1083333333333333;0,1655905736907693;0,1;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,01
7;500;0,0000;0,01375000000000000;0,01375000000000000;0,0875000000000000;0,1315696656645327;0,1;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,01
8;600;0,0000;0,01333333333333333;0,01333333333333333;0,1340000000000000;0,1589514251447767;0,1;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,01
9;500;0,0000;0,00818181818181818;0,00818181818181818;0,0744117647058824;0,1263536994034649;0,1;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,01
10;500;0,0000;0,01000000000000000;0,01000000000000000;0,1019230769230769;0,1590274931882648;0,1;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,01
11;400;0,0000;0,00800000000000000;0,00800000000000000;0,1035000000000000;0,1424595459146989;0,1;2;10;0,00;0;0,50;1;10;12;150;200;0,08;0,01
12;400;0,0000;0,01583333333333333;0,01583333333333333;0,1109090909090909;0,1586476943075156;0,1;2;10;0,00;0;0,50;1;10;12;150;200;0,08;0,01
13;500;0,0000;0,01142857142857143;0,01142857142857143;0,0915384615384615;0,1343562524190913;0,1;2;10;0,00;0;0,50;1;10;12;150;200;0,08;0,01
14;500;0,0000;0,00846153846153846;0,00846153846153846;0,0660526315789474;0,1286638487101652;0,1;2;10;0,00;0;0,50;1;10;12;150;200;0,08;0,01
