run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
76;1300;1,0000;0,99299999999999999;0,00700000000000001;0,754210526315789;0,2190336298246277;55;2;10;0,50;0;0,00;0;10;12;150;200;0,08;5,5
81;3700;1,0000;0,97153846153846146;0,02846153846153854;0,829509803921569;0,1522703349374420;55;2;10;0,50;0;0,25;0;10;12;150;200;0,08;5,5
82;3100;1,0000;0,90447368421052632;0,09552631578947368;0,826960784313725;0,1274130230053920;55;2;10;0,50;0;0,25;0;10;12;150;200;0,08;5,5
83;3500;1,0000;0,94666666666666666;0,05333333333333334;0,847156862745098;0,1191144613468943;55;2;10;0,50;0;0,25;0;10;12;150;200;0,08;5,5
84;3100;1,0000;0,97447368421052627;0,02552631578947373;0,819509803921569;0,1464624692607659;55;2;10;0,50;0;0,25;0;10;12;150;200;0,08;5,5
89;3000;1,0000;0,98583333333333334;0,01416666666666666;0,815581395348837;0,1490973208149534;55;2;10;0,50;0;0,50;0;10;12;150;200;0,08;5,5
90;4800;1,0000;0,96750000000000003;0,03249999999999997;0,691764705882353;0,1830514231832459;55;2;10;0,50;0;0,50;0;10;12;150;200;0,08;5,5
91;4500;1,0000;0,91800000000000004;0,08199999999999996;0,696764705882353;0,1741344983896407;55;2;10;0,50;0;0,50;0;10;12;150;200;0,08;5,5
92;NA;0,7130;NA;0,00000000000000000;0,556862745098039;0,1202287851735753;55;2;10;0,50;0;0,50;0;10;12;150;200;0,08;5,5
97;1200;1,0000;0,99124999999999996;0,00875000000000004;0,816470588235294;0,1610004338686153;55;2;10;0,66;0;0,00;0;10;12;150;200;0,08;5,5
98;1200;1,0000;0,98999999999999999;0,01000000000000001;0,786176470588235;0,1926584527389460;55;2;10;0,66;0;0,00;0;10;12;150;200;0,08;5,5
99;1500;1,0000;0,99375000000000002;0,00624999999999998;0,736250000000000;0,2343067883195696;55;2;10;0,66;0;0,00;0;10;12;150;200;0,08;5,5
100;1300;1,0000;0,99249999999999994;0,00750000000000006;0,790250000000000;0,2278877551501362;55;2;10;0,66;0;0,00;0;10;12;150;200;0,08;5,5
105;2900;1,0000;0,96499999999999997;0,03500000000000003;0,800526315789474;0,1812896348972960;55;2;10;0,66;0;0,25;0;10;12;150;200;0,08;5,5
106;NA;0,8775;NA;0,00000000000000000;0,793921568627451;0,1132179920573148;55;2;10;0,66;0;0,25;0;10;12;150;200;0,08;5,5
107;2600;1,0000;0,96812500000000001;0,03187499999999999;0,738285714285714;0,1879805326949280;55;2;10;0,66;0;0,25;0;10;12;150;200;0,08;5,5
108;3500;1,0000;0,95607142857142857;0,04392857142857143;0,800300000000000;0,1394830470278136;55;2;10;0,66;0;0,25;0;10;12;150;200;0,08;5,5
113;2800;1,0000;0,98750000000000004;0,01249999999999996;0,846714285714286;0,1280104709477662;55;2;10;0,66;0;0,50;0;10;12;150;200;0,08;5,5
114;NA;0,7395;NA;0,00000000000000000;0,715392156862745;0,0749522723955378;55;2;10;0,66;0;0,50;0;10;12;150;200;0,08;5,5
115;3100;1,0000;0,94710526315789467;0,05289473684210533;0,789215686274510;0,1562701908523171;55;2;10;0,66;0;0,50;0;10;12;150;200;0,08;5,5
116;NA;0,3145;NA;0,00000000000000000;0,329313725490196;0,1159052182079959;55;2;10;0,66;0;0,50;0;10;12;150;200;0,08;5,5
121;900;1,0000;0,98571428571428565;0,01428571428571435;0,813235294117647;0,2057907096456752;55;2;10;0,83;0;0,00;0;10;12;150;200;0,08;5,5
122;1300;1,0000;0,98666666666666669;0,01333333333333331;0,838043478260870;0,1701786436395241;55;2;10;0,83;0;0,00;0;10;12;150;200;0,08;5,5
123;1100;1,0000;0,98666666666666669;0,01333333333333331;0,786333333333333;0,1781398594470354;55;2;10;0,83;0;0,00;0;10;12;150;200;0,08;5,5
124;1000;1,0000;0,98299999999999998;0,01700000000000002;0,824062500000000;0,1714566879224410;55;2;10;0,83;0;0,00;0;10;12;150;200;0,08;5,5
129;2900;1,0000;0,96875000000000000;0,03125000000000000;0,741323529411765;0,1627105108426647;55;2;10;0,83;0;0,25;0;10;12;150;200;0,08;5,5
130;2500;1,0000;0,97578947368421054;0,02421052631578946;0,843222222222222;0,1663654095506319;55;2;10;0,83;0;0,25;0;10;12;150;200;0,08;5,5
131;1200;1,0000;0,98312500000000003;0,01687499999999997;0,889482758620690;0,1420157487971103;55;2;10;0,83;0;0,25;0;10;12;150;200;0,08;5,5
132;2100;1,0000;0,97950000000000004;0,02049999999999996;0,806547619047619;0,2167399478503970;55;2;10;0,83;0;0,25;0;10;12;150;200;0,08;5,5
137;NA;0,2470;NA;0,00000000000000000;0,502647058823529;0,1549462905047309;55;2;10;0,83;0;0,50;0;10;12;150;200;0,08;5,5
138;NA;0,2950;NA;0,00000000000000000;0,482450980392157;0,1156389750431039;55;2;10;0,83;0;0,50;0;10;12;150;200;0,08;5,5
139;2300;1,0000;0,98666666666666669;0,01333333333333331;0,822333333333333;0,1457485632113089;55;2;10;0,83;0;0,50;0;10;12;150;200;0,08;5,5
140;4500;1,0000;0,92800000000000005;0,07199999999999995;0,679215686274510;0,1614910912373175;55;2;10;0,83;0;0,50;0;10;12;150;200;0,08;5,5
145;800;1,0000;0,98916666666666664;0,01083333333333336;0,837666666666667;0,1782040029479323;55;2;10;1,00;0;0,00;0;10;12;150;200;0,08;5,5
146;900;1,0000;0,98799999999999999;0,01200000000000001;0,839333333333333;0,1761377977877656;55;2;10;1,00;0;0,00;0;10;12;150;200;0,08;5,5
147;1100;1,0000;0,98187499999999994;0,01812500000000006;0,778750000000000;0,2207515571859007;55;2;10;1,00;0;0,00;0;10;12;150;200;0,08;5,5
148;1000;1,0000;0,99249999999999994;0,00750000000000006;0,772333333333333;0,2152728058821665;55;2;10;1,00;0;0,00;0;10;12;150;200;0,08;5,5
153;2100;1,0000;0,91913793103448271;0,08086206896551729;0,840784313725490;0,1301090794257634;55;2;10;1,00;0;0,25;0;10;12;150;200;0,08;5,5
154;1300;1,0000;0,98571428571428565;0,01428571428571435;0,872380952380952;0,1334880055250194;55;2;10;1,00;0;0,25;0;10;12;150;200;0,08;5,5
