run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
104;700;0,0000;0,01500000000000000;0,01500000000000000;0,1430769230769231;0,1572754809977605;0,1;2;10;1,00;0;0,5;1;10;12;150;200;0,08;0,01
105;700;0,0000;0,00250000000000000;0,00250000000000000;0,1455000000000000;0,1510785299843172;0,1;2;10;1,00;0;0,5;1;10;12;150;200;0,08;0,01
116;500;0,0000;0,00500000000000000;0,00500000000000000;0,1077272727272727;0,1554889648232896;0,2;2;10;0,00;0;0,5;1;10;12;150;200;0,08;0,02
117;400;0,0000;0,01400000000000000;0,01400000000000000;0,1125000000000000;0,1529024743641079;0,2;2;10;0,00;0;0,5;1;10;12;150;200;0,08;0,02
118;500;0,0000;0,01125000000000000;0,01125000000000000;0,1470000000000000;0,1844692085115803;0,2;2;10;0,00;0;0,5;1;10;12;150;200;0,08;0,02
119;500;0,0000;0,00900000000000000;0,00900000000000000;0,1118181818181818;0,1607369392403739;0,2;2;10;0,00;0;0,5;1;10;12;150;200;0,08;0,02
120;500;0,0000;0,00772727272727273;0,00772727272727273;0,0750000000000000;0,1372042273401224;0,2;2;10;0,00;0;0,5;1;10;12;150;200;0,08;0,02
131;500;0,0000;0,01250000000000000;0,01250000000000000;0,1295000000000000;0,1600772383014594;0,2;2;10;0,16;0;0,5;1;10;12;150;200;0,08;0,02
132;500;0,0000;0,00928571428571429;0,00928571428571429;0,0942307692307692;0,1500395247071883;0,2;2;10;0,16;0;0,5;1;10;12;150;200;0,08;0,02
133;500;0,0000;0,00607142857142857;0,00607142857142857;0,0560000000000000;0,1083925614072343;0,2;2;10;0,16;0;0,5;1;10;12;150;200;0,08;0,02
134;500;0,0000;0,01166666666666667;0,01166666666666667;0,1238888888888889;0,1525978738748057;0,2;2;10;0,16;0;0,5;1;10;12;150;200;0,08;0,02
135;400;0,0000;0,01200000000000000;0,01200000000000000;0,1050000000000000;0,1500185173755412;0,2;2;10;0,16;0;0,5;1;10;12;150;200;0,08;0,02
146;400;0,0000;0,01200000000000000;0,01200000000000000;0,1045000000000000;0,1454580886563396;0,2;2;10;0,33;0;0,5;1;10;12;150;200;0,08;0,02
