run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
6;600;0,0000;0,01125000000000000;0,01125000000000000;0,1083333333333333;0,1655905736907693;0,1;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,01
7;500;0,0000;0,01375000000000000;0,01375000000000000;0,0875000000000000;0,1315696656645327;0,1;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,01
8;600;0,0000;0,01333333333333333;0,01333333333333333;0,1340000000000000;0,1589514251447767;0,1;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,01
9;500;0,0000;0,00818181818181818;0,00818181818181818;0,0744117647058824;0,1263536994034649;0,1;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,01
10;500;0,0000;0,01000000000000000;0,01000000000000000;0,1019230769230769;0,1590274931882648;0,1;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,01
21;600;0,0000;0,01000000000000000;0,01000000000000000;0,1133333333333333;0,1497472618255253;0,1;2;10;0,16;0;0,25;1;10;12;150;200;0,08;0,01
22;400;0,0000;0,01062500000000000;0,01062500000000000;0,0873076923076923;0,1480092252842057;0,1;2;10;0,16;0;0,25;1;10;12;150;200;0,08;0,01
23;500;0,0000;0,01100000000000000;0,01100000000000000;0,1263636363636364;0,1662391486547454;0,1;2;10;0,16;0;0,25;1;10;12;150;200;0,08;0,01
24;500;0,0000;0,01200000000000000;0,01200000000000000;0,1159090909090909;0,1601689448959782;0,1;2;10;0,16;0;0,25;1;10;12;150;200;0,08;0,01
25;500;0,0000;0,01900000000000000;0,01900000000000000;0,1227272727272727;0,1582460684561174;0,1;2;10;0,16;0;0,25;1;10;12;150;200;0,08;0,01
36;500;0,0000;0,01250000000000000;0,01250000000000000;0,1087500000000000;0,1583167854191543;0,1;2;10;0,33;0;0,25;1;10;12;150;200;0,08;0,01
37;500;0,0000;0,01000000000000000;0,01000000000000000;0,0946153846153846;0,1408081072840732;0,1;2;10;0,33;0;0,25;1;10;12;150;200;0,08;0,01
38;600;0,0000;0,01600000000000000;0,01600000000000000;0,1179166666666667;0,1558037567135677;0,1;2;10;0,33;0;0,25;1;10;12;150;200;0,08;0,01
39;500;0,0000;0,00812500000000000;0,00812500000000000;0,0982142857142857;0,1624287671430292;0,1;2;10;0,33;0;0,25;1;10;12;150;200;0,08;0,01
40;500;0,0000;0,00916666666666667;0,00916666666666667;0,0975000000000000;0,1492481155659930;0,1;2;10;0,33;0;0,25;1;10;12;150;200;0,08;0,01
51;600;0,0000;0,01200000000000000;0,01200000000000000;0,1241666666666667;0,1656506912607114;0,1;2;10;0,50;0;0,25;1;10;12;150;200;0,08;0,01
52;500;0,0000;0,00700000000000000;0,00700000000000000;0,1131818181818182;0,1613888584641568;0,1;2;10;0,50;0;0,25;1;10;12;150;200;0,08;0,01
53;600;0,0000;0,00725000000000000;0,00725000000000000;0,0607407407407407;0,1271182346638183;0,1;2;10;0,50;0;0,25;1;10;12;150;200;0,08;0,01
54;400;0,0000;0,01000000000000000;0,01000000000000000;0,0889285714285714;0,1464736596355569;0,1;2;10;0,50;0;0,25;1;10;12;150;200;0,08;0,01
55;500;0,0000;0,00625000000000000;0,00625000000000000;0,1325000000000000;0,1723570260953827;0,1;2;10;0,50;0;0,25;1;10;12;150;200;0,08;0,01
66;600;0,0000;0,00666666666666667;0,00666666666666667;0,1380000000000000;0,1722433678774825;0,1;2;10;0,66;0;0,25;1;10;12;150;200;0,08;0,01
67;400;0,0000;0,00833333333333333;0,00833333333333333;0,1300000000000000;0,1703567684931496;0,1;2;10;0,66;0;0,25;1;10;12;150;200;0,08;0,01
68;500;0,0000;0,00750000000000000;0,00750000000000000;0,1650000000000000;0,1761087326462993;0,1;2;10;0,66;0;0,25;1;10;12;150;200;0,08;0,01
69;600;0,0000;0,01500000000000000;0,01500000000000000;0,1023333333333333;0,1521731469960015;0,1;2;10;0,66;0;0,25;1;10;12;150;200;0,08;0,01
70;600;0,0000;0,02083333333333333;0,02083333333333333;0,1234615384615385;0,1565165674854771;0,1;2;10;0,66;0;0,25;1;10;12;150;200;0,08;0,01
81;700;0,0000;0,00500000000000000;0,00500000000000000;0,1515000000000000;0,1586234184756113;0,1;2;10;0,83;0;0,25;1;10;12;150;200;0,08;0,01
82;600;0,0000;0,01687500000000000;0,01687500000000000;0,1296666666666667;0,1800740588387641;0,1;2;10;0,83;0;0,25;1;10;12;150;200;0,08;0,01
83;600;0,0000;0,00722222222222222;0,00722222222222222;0,0896875000000000;0,1430089595095356;0,1;2;10;0,83;0;0,25;1;10;12;150;200;0,08;0,01
84;600;0,0000;0,00750000000000000;0,00750000000000000;0,1153846153846154;0,1614835071359397;0,1;2;10;0,83;0;0,25;1;10;12;150;200;0,08;0,01
85;500;0,0000;0,01375000000000000;0,01375000000000000;0,1275000000000000;0,1568660079317519;0,1;2;10;0,83;0;0,25;1;10;12;150;200;0,08;0,01
96;600;0,0000;0,00909090909090909;0,00909090909090909;0,1019444444444444;0,1573413195879366;0,1;2;10;1,00;0;0,25;1;10;12;150;200;0,08;0,01
97;700;0,0000;0,01400000000000000;0,01400000000000000;0,1434615384615385;0,1463355820164821;0,1;2;10;1,00;0;0,25;1;10;12;150;200;0,08;0,01
98;800;0,0000;0,02111111111111111;0,02111111111111111;0,1266666666666667;0,1615094242378663;0,1;2;10;1,00;0;0,25;1;10;12;150;200;0,08;0,01
99;900;0,0000;0,01000000000000000;0,01000000000000000;0,1800000000000000;0,1714156741180145;0,1;2;10;1,00;0;0,25;1;10;12;150;200;0,08;0,01
100;1200;0,0000;0,00875000000000000;0,00875000000000000;0,2044117647058823;0,1823362480499727;0,1;2;10;1,00;0;0,25;1;10;12;150;200;0,08;0,01
111;600;0,0000;0,00833333333333333;0,00833333333333333;0,1495000000000000;0,1729394563295362;0,2;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,02
112;600;0,0000;0,01000000000000000;0,01000000000000000;0,1290909090909091;0,1657983441084105;0,2;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,02
113;400;0,0000;0,01000000000000000;0,01000000000000000;0,1375000000000000;0,1785857137143314;0,2;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,02
114;500;0,0000;0,00937500000000000;0,00937500000000000;0,0928571428571429;0,1544433464178605;0,2;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,02
115;500;0,0000;0,01000000000000000;0,01000000000000000;0,1140000000000000;0,1453692616140779;0,2;2;10;0,00;0;0,25;1;10;12;150;200;0,08;0,02
126;400;0,0000;0,01400000000000000;0,01400000000000000;0,1130000000000000;0,1545639026422405;0,2;2;10;0,16;0;0,25;1;10;12;150;200;0,08;0,02
127;400;0,0000;0,01000000000000000;0,01000000000000000;0,1055000000000000;0,1486877787699969;0,2;2;10;0,16;0;0,25;1;10;12;150;200;0,08;0,02
128;400;0,0000;0,01000000000000000;0,01000000000000000;0,1185000000000000;0,1680616619643583;0,2;2;10;0,16;0;0,25;1;10;12;150;200;0,08;0,02
129;500;0,0000;0,00916666666666667;0,00916666666666667;0,1104166666666667;0,1604745566541105;0,2;2;10;0,16;0;0,25;1;10;12;150;200;0,08;0,02
130;500;0,0000;0,00500000000000000;0,00500000000000000;0,1394444444444445;0,1720182483859715;0,2;2;10;0,16;0;0,25;1;10;12;150;200;0,08;0,02
141;500;0,0000;0,01071428571428571;0,01071428571428571;0,1042307692307692;0,1550785574293203;0,2;2;10;0,33;0;0,25;1;10;12;150;200;0,08;0,02
142;400;0,0000;0,01300000000000000;0,01300000000000000;0,1180000000000000;0,1550483795465145;0,2;2;10;0,33;0;0,25;1;10;12;150;200;0,08;0,02
